year,state_pension_expenditure_gbp_million,state_pension_expenditure_real_gbp_million,state_pension_expenditure_pct_gdp,state_pension_caseload_thousands,state_pension_real_per_pensioner_gbp,state_pension_expenditure_basis,avg_earnings_growth_pct,cpi_inflation_pct
2011,74150.52,111022.98,4.41,12667.00,8764.74,Outturn,2.80,5.20
2012,79809.01,117458.67,4.60,12810.00,9169.30,Outturn,1.50,2.20
2013,83110.34,119824.75,4.59,12888.00,9297.39,Outturn,1.20,2.70
2014,86515.83,122995.85,4.58,12958.00,9491.89,Outturn,0.50,1.20
2015,89367.86,126174.60,4.60,12957.00,9737.95,Outturn,2.80,-0.10
2016,91580.29,126757.13,4.52,12930.00,9803.34,Outturn,2.50,1.00
2017,93800.45,128206.69,4.44,12838.00,9986.50,Outturn,2.20,3.00
2018,96743.37,129282.28,4.42,12724.00,10160.51,Outturn,2.70,2.40
2019,98807.42,128646.15,4.37,12556.00,10245.79,Outturn,4.00,1.70
2020,102034.15,126249.63,4.84,12379.00,10198.69,Outturn,-0.90,0.50
2021,104691.67,129228.86,4.36,12457.00,10374.00,Outturn,8.40,3.10
2022,110533.36,127479.22,4.20,12597.00,10119.81,Outturn,5.50,10.10
2023,124106.08,135957.50,4.45,12776.00,10641.63,Outturn,8.40,6.70
2024,136584.37,143836.36,4.66,12987.00,11075.41,Outturn,4.40,1.70
2025,146071.20,149001.01,4.78,13204.00,11284.54,Forecast,4.80,3.80
2026,154174.54,154174.54,4.87,13220.00,11662.22,Forecast,,
2027,158924.27,155896.79,4.85,13083.00,11915.98,Forecast,,
2028,163988.11,157918.48,4.84,13167.00,11993.51,Forecast,,
2029,172195.00,162786.67,4.91,13431.00,12120.22,Forecast,,
2030,180695.25,167446.82,4.98,13697.00,12225.07,Forecast,,
